campaign_id,scenario,method,report,edp_count,week_count,report_type,truth_union,estimated_union,union_relative_error,signed_union_error,population_bound_excess,mean_marginal_relative_error,pair_intersection_error,three_way_intersection_error,four_plus_intersection_error,stable_key_fragmentation,cross_edp_email_fragmentation,mean_vids_per_true_person,mean_day_dial,day_dial_churn,first_available_day,state_entries,pool_count,requires_ordered_days,notes
eval_broad_awareness_control_0,broad_awareness_control,ordered_collision_resolved_overlap_pool,weeks_5_12__2_edps,2,8,interval,13910,13633,0.0199137311286844,-0.0199137311286844,0.0,0.0,0.056623058053965655,0.0,0.0,0.0,0.0,4.938607700427801,0.4799699286517648,0.07793839252719657,0,88909,2,True,Cumulative match-rate dial with durable mappings and exact per-EDP reach.
eval_broad_awareness_control_0,broad_awareness_control,ordered_collision_resolved_overlap_pool,weeks_1_3__5_edps,5,3,prefix,6763,6962,0.029424811474197843,0.029424811474197843,0.0,0.0,0.16993006993006993,0.8145161290322581,7.8,0.0,0.0,4.938607700427801,0.4799699286517648,0.07793839252719657,0,88909,2,True,Cumulative match-rate dial with durable mappings and exact per-EDP reach.
eval_broad_awareness_control_0,broad_awareness_control,ordered_collision_resolved_overlap_pool,weeks_1_12__5_edps,5,12,prefix,17620,21929,0.2445516458569807,0.2445516458569807,0.21827777777777777,0.0,0.08526859431542705,0.1728440366972477,0.8043234138124649,0.0,0.0,4.938607700427801,0.4799699286517648,0.07793839252719657,0,88909,2,True,Cumulative match-rate dial with durable mappings and exact per-EDP reach.
eval_broad_awareness_control_0,broad_awareness_control,ordered_collision_resolved_overlap_pool,weeks_7_13__5_edps,5,7,interval,17188,20125,0.17087502909006283,0.17087502909006283,0.11805555555555555,0.0,0.12355746169690472,0.23201916229688613,0.6720132743362832,0.0,0.0,4.938607700427801,0.4799699286517648,0.07793839252719657,0,88909,2,True,Cumulative match-rate dial with durable mappings and exact per-EDP reach.
eval_broad_awareness_control_0,broad_awareness_control,ordered_collision_resolved_overlap_pool,all_weeks__5_edps,5,13,prefix,17804,22659,0.27269152999325996,0.27269152999325996,0.25883333333333336,0.0,0.09124775323244622,0.10287345735862959,0.4978892158116925,0.0,0.0,4.938607700427801,0.4799699286517648,0.07793839252719657,0,88909,2,True,Cumulative match-rate dial with durable mappings and exact per-EDP reach.
eval_broad_awareness_control_0,broad_awareness_control,ordered_collision_resolved_overlap_pool,noncontiguous__5_edps,5,6,noncontiguous,15212,17180,0.1293715487772811,0.1293715487772811,0.0,0.0,0.14993373094764745,0.19312123817712812,0.2475442043222004,0.0,0.0,4.938607700427801,0.4799699286517648,0.07793839252719657,0,88909,2,True,Cumulative match-rate dial with durable mappings and exact per-EDP reach.
eval_broad_awareness_control_0,broad_awareness_control,ordered_collision_resolved_overlap_pool,weeks_1_3__10_edps,10,3,prefix,10863,11522,0.06066464144343183,0.06066464144343183,0.0,0.0,0.327199628885109,3.072398190045249,64.89830508474576,0.0,0.0,4.938607700427801,0.4799699286517648,0.07793839252719657,0,88909,2,True,Cumulative match-rate dial with durable mappings and exact per-EDP reach.
eval_broad_awareness_control_0,broad_awareness_control,ordered_collision_resolved_overlap_pool,weeks_1_12__10_edps,10,12,prefix,17994,23953,0.33116594420362344,0.33116594420362344,0.3307222222222222,0.00503922440755248,0.17673900395846087,0.3381394983248018,2.0450535800979326,0.0,0.0,4.938607700427801,0.4799699286517648,0.07793839252719657,0,88909,2,True,Cumulative match-rate dial with durable mappings and exact per-EDP reach.
eval_broad_awareness_control_0,broad_awareness_control,ordered_collision_resolved_overlap_pool,all_weeks__10_edps,10,13,prefix,17999,24486,0.36040891160620037,0.36040891160620037,0.36033333333333334,0.010807800191290209,0.15171749478626004,0.22684358068014124,1.2555779700888363,0.0,0.0,4.938607700427801,0.4799699286517648,0.07793839252719657,0,88909,2,True,Cumulative match-rate dial with durable mappings and exact per-EDP reach.
eval_broad_awareness_control_0,broad_awareness_control,fixed_marginal_overlap_atlas,weeks_1_3__2_edps,2,3,prefix,1155,838,0.27445887445887446,-0.27445887445887446,0.0,0.0,9.323529411764707,0.0,0.0,0.0,1.0,6.25929218289905,0.020935310869932444,0.01359732957425107,0,112681,1,True,Fixed EDP marginals; cumulative match signal changes only overlap among their VID sets.
