campaign_id,scenario,day,basis,feature_set,best_dial,predicted_dial,absolute_dial_error
train_catalog_retargeting_1,catalog_retargeting,1,same_day,full,0.296875,0.5440059764936732,0.24713097649367322
train_catalog_retargeting_1,catalog_retargeting,1,cumulative,full,0.296875,0.5440059764936732,0.24713097649367322
train_catalog_retargeting_1,catalog_retargeting,3,same_day,full,0.653125,0.5668629080393178,0.08626209196068213
train_catalog_retargeting_1,catalog_retargeting,3,cumulative,full,0.653125,0.6478970040390515,0.005227995960948473
train_catalog_retargeting_1,catalog_retargeting,6,same_day,full,0.59375,0.6235097977787023,0.0297597977787023
train_catalog_retargeting_1,catalog_retargeting,6,cumulative,full,0.7124999999999999,0.7269172851522956,0.014417285152295678
train_catalog_retargeting_1,catalog_retargeting,9,same_day,full,0.7124999999999999,0.5740776585916996,0.13842234140830034
train_catalog_retargeting_1,catalog_retargeting,9,cumulative,full,0.771875,0.7429624071222496,0.028912592877750387
train_catalog_retargeting_1,catalog_retargeting,13,same_day,full,0.771875,0.548245760501153,0.22362923949884694
train_catalog_retargeting_1,catalog_retargeting,13,cumulative,full,0.8312499999999999,0.8013874706510572,0.029862529348942735
train_lookalike_prospecting_0,lookalike_prospecting,1,same_day,full,0.2375,0.21715934135128354,0.020340658648716453
train_lookalike_prospecting_0,lookalike_prospecting,1,cumulative,full,0.2375,0.21715934135128354,0.020340658648716453
train_lookalike_prospecting_0,lookalike_prospecting,3,same_day,full,0.17812499999999998,0.224029673632133,0.04590467363213302
train_lookalike_prospecting_0,lookalike_prospecting,3,cumulative,full,0.2375,0.22371319990525207,0.01378680009474792
train_lookalike_prospecting_0,lookalike_prospecting,6,same_day,full,0.11875,0.1617214632619116,0.04297146326191162
train_lookalike_prospecting_0,lookalike_prospecting,6,cumulative,full,0.296875,0.25385115393595414,0.043023846064045856
train_lookalike_prospecting_0,lookalike_prospecting,9,same_day,full,0.17812499999999998,0.25987690449296336,0.08175190449296338
train_lookalike_prospecting_0,lookalike_prospecting,9,cumulative,full,0.35624999999999996,0.2962942199461758,0.05995578005382418
