campaign_id,scenario,method,day,dial
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_union_recent,1,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_union_recent,2,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_union_recent,3,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_union_recent,4,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_union_recent,5,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_union_recent,6,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_union_recent,7,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_union_recent,8,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_union_recent,9,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_union_recent,10,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_union_recent,11,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_union_recent,12,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_union_recent,13,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_union_oldest,1,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_union_oldest,2,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_union_oldest,3,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_union_oldest,4,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_union_oldest,5,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_union_oldest,6,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_union_oldest,7,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_union_oldest,8,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_union_oldest,9,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_union_oldest,10,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_union_oldest,11,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_union_oldest,12,0.0
eval_broad_awareness_control_0,broad_awareness_control,oracle_online_union_oldest,13,0.0
eval_broad_awareness_control_0,broad_awareness_control,forbidden_person_identity_oracle,1,0.0
eval_broad_awareness_control_0,broad_awareness_control,forbidden_person_identity_oracle,2,0.0
eval_broad_awareness_control_0,broad_awareness_control,forbidden_person_identity_oracle,3,0.0
eval_broad_awareness_control_0,broad_awareness_control,forbidden_person_identity_oracle,4,0.0
eval_broad_awareness_control_0,broad_awareness_control,forbidden_person_identity_oracle,5,0.0
eval_broad_awareness_control_0,broad_awareness_control,forbidden_person_identity_oracle,6,0.0
eval_broad_awareness_control_0,broad_awareness_control,forbidden_person_identity_oracle,7,0.0
eval_broad_awareness_control_0,broad_awareness_control,forbidden_person_identity_oracle,8,0.0
eval_broad_awareness_control_0,broad_awareness_control,forbidden_person_identity_oracle,9,0.0
eval_broad_awareness_control_0,broad_awareness_control,forbidden_person_identity_oracle,10,0.0
eval_broad_awareness_control_0,broad_awareness_control,forbidden_person_identity_oracle,11,0.0
eval_broad_awareness_control_0,broad_awareness_control,forbidden_person_identity_oracle,12,0.0
eval_broad_awareness_control_0,broad_awareness_control,forbidden_person_identity_oracle,13,0.0
eval_broad_awareness_control_0,broad_awareness_control,three_day_buffer_then_freeze,1,0.0
eval_broad_awareness_control_0,broad_awareness_control,three_day_buffer_then_freeze,2,0.0
