scenario,scenario_label,variant,similarity_multiplier,matchability_shift,replicate,report,edp_count,method,method_label,relative_error
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,1,"full flight, 10 EDPs",10,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.0024225210926404235
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,1,"full flight, 10 EDPs",10,two_group_latent_mixture,Two-group mixture,0.0024225210926406724
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,1,"full flight, 10 EDPs",10,pairwise_maxent_direct,Direct pair + higher-order inference,0.002422521089518163
broad_awareness_control,Broad awareness / reach control,stronger similarity,1.35,0.0,1,"full flight, 10 EDPs",10,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.002422521092640548
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,0,"full flight, 2 EDPs",2,baseline_vid,Existing VID,0.0018206011029979043
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,0,"full flight, 2 EDPs",2,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.058977177238231315
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,0,"full flight, 2 EDPs",2,two_group_latent_mixture,Two-group mixture,0.10915981144283068
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,0,"full flight, 2 EDPs",2,pairwise_maxent_direct,Direct pair + higher-order inference,0.04780004570362173
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,0,"full flight, 2 EDPs",2,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.10914430832477207
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,0,"full flight, 5 EDPs",5,baseline_vid,Existing VID,0.0031885089506704764
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,0,"full flight, 5 EDPs",5,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.01171907933563768
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,0,"full flight, 5 EDPs",5,two_group_latent_mixture,Two-group mixture,0.011719079335637553
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,0,"full flight, 5 EDPs",5,pairwise_maxent_direct,Direct pair + higher-order inference,0.011718693433616688
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,0,"full flight, 5 EDPs",5,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.011719079335021833
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,0,"full flight, 10 EDPs",10,baseline_vid,Existing VID,5.1660505495096245e-05
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,0,"full flight, 10 EDPs",10,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.0
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,0,"full flight, 10 EDPs",10,two_group_latent_mixture,Two-group mixture,1.241763432820638e-16
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,0,"full flight, 10 EDPs",10,pairwise_maxent_direct,Direct pair + higher-order inference,0.0
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,0,"full flight, 10 EDPs",10,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.0
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,1,"full flight, 2 EDPs",2,baseline_vid,Existing VID,0.0025561963347429523
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,1,"full flight, 2 EDPs",2,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.05615171394181201
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,1,"full flight, 2 EDPs",2,two_group_latent_mixture,Two-group mixture,0.09383205984080241
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,1,"full flight, 2 EDPs",2,pairwise_maxent_direct,Direct pair + higher-order inference,0.04156842807107825
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,1,"full flight, 2 EDPs",2,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.09700358715351186
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,1,"full flight, 5 EDPs",5,baseline_vid,Existing VID,0.0015264294059289518
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,1,"full flight, 5 EDPs",5,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.005614681974356576
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,1,"full flight, 5 EDPs",5,two_group_latent_mixture,Two-group mixture,0.005614681974356701
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,1,"full flight, 5 EDPs",5,pairwise_maxent_direct,Direct pair + higher-order inference,0.005614681973353966
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,1,"full flight, 5 EDPs",5,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.005614681972271188
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,1,"full flight, 10 EDPs",10,baseline_vid,Existing VID,6.361697733325256e-05
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,1,"full flight, 10 EDPs",10,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,8.33402783566539e-05
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,1,"full flight, 10 EDPs",10,two_group_latent_mixture,Two-group mixture,8.334027835640552e-05
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,1,"full flight, 10 EDPs",10,pairwise_maxent_direct,Direct pair + higher-order inference,8.334027835640552e-05
broad_awareness_control,Broad awareness / reach control,lower matchability,1.0,-0.15,1,"full flight, 10 EDPs",10,pairwise_maxent_mixture,Mixture pair + higher-order inference,8.33402783566539e-05
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,0,"full flight, 2 EDPs",2,baseline_vid,Existing VID,0.014325315288616731
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,0,"full flight, 2 EDPs",2,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.00018332709229935726
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,0,"full flight, 2 EDPs",2,two_group_latent_mixture,Two-group mixture,0.043773495646209706
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,0,"full flight, 2 EDPs",2,pairwise_maxent_direct,Direct pair + higher-order inference,0.020973044224883903
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,0,"full flight, 2 EDPs",2,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.04471858820316099
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,0,"full flight, 5 EDPs",5,baseline_vid,Existing VID,0.007617594571868758
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,0,"full flight, 5 EDPs",5,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.015050831507631882
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,0,"full flight, 5 EDPs",5,two_group_latent_mixture,Two-group mixture,0.015572105619498228
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,0,"full flight, 5 EDPs",5,pairwise_maxent_direct,Direct pair + higher-order inference,0.020001050352199116
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,0,"full flight, 5 EDPs",5,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.01557206774373919
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,0,"full flight, 10 EDPs",10,baseline_vid,Existing VID,0.00034727839699172635
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,0,"full flight, 10 EDPs",10,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.00041684035014589413
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,0,"full flight, 10 EDPs",10,two_group_latent_mixture,Two-group mixture,0.0004168403501457699
