scenario,scenario_label,campaign,replicate,report,week_count,edp_count,method,method_label,truth_union,estimate,relative_error,signed_error,mean_edp_reach_fraction,reference_full_intersection
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"weeks 7-13, 5 EDPs",7,5,two_group_latent_mixture,Two-group mixture,113610000.0,119401941.1850877,0.050980909999891695,0.050980909999891695,0.41696666666666665,79999.66277151224
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"weeks 7-13, 5 EDPs",7,5,pairwise_maxent_direct,Direct pair + higher-order inference,113610000.0,117658365.45654085,0.0356338830784337,0.0356338830784337,0.41696666666666665,79999.66277151224
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"weeks 7-13, 5 EDPs",7,5,pairwise_maxent_mixture,Mixture pair + higher-order inference,113610000.0,119871401.86994193,0.05511312269995542,0.05511312269995542,0.41696666666666665,79999.66277151224
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"full flight, 5 selected EDPs",13,5,baseline_vid,Existing VID,119170000.0,119535114.71168734,0.003063813977404895,0.003063813977404895,0.6633333333333333,310000.20439789165
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"full flight, 5 selected EDPs",13,5,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,119170000.0,119999999.99999994,0.006964840144331127,0.006964840144331127,0.6633333333333333,310000.20439789165
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"full flight, 5 selected EDPs",13,5,two_group_latent_mixture,Two-group mixture,119170000.0,120000000.0,0.006964840144331627,0.006964840144331627,0.6633333333333333,310000.20439789165
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"full flight, 5 selected EDPs",13,5,pairwise_maxent_direct,Direct pair + higher-order inference,119170000.0,117251392.4139651,0.016099753176427742,-0.016099753176427742,0.6633333333333333,310000.20439789165
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"full flight, 5 selected EDPs",13,5,pairwise_maxent_mixture,Mixture pair + higher-order inference,119170000.0,119999999.9999018,0.006964840143507606,0.006964840143507606,0.6633333333333333,310000.20439789165
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"noncontiguous weeks, 5 EDPs",6,5,baseline_vid,Existing VID,105410000.0,106423649.73830415,0.00961625783421073,0.00961625783421073,0.34976666666666667,39999.81235177184
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"noncontiguous weeks, 5 EDPs",6,5,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,105410000.0,105164882.67853388,0.0023253706618548346,-0.0023253706618548346,0.34976666666666667,39999.81235177184
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"noncontiguous weeks, 5 EDPs",6,5,two_group_latent_mixture,Two-group mixture,105410000.0,105725179.73147829,0.002990036348337812,0.002990036348337812,0.34976666666666667,39999.81235177184
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"noncontiguous weeks, 5 EDPs",6,5,pairwise_maxent_direct,Direct pair + higher-order inference,105410000.0,111893071.44465972,0.06150338150706503,0.06150338150706503,0.34976666666666667,39999.81235177184
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"noncontiguous weeks, 5 EDPs",6,5,pairwise_maxent_mixture,Mixture pair + higher-order inference,105410000.0,111787493.14952458,0.060501784930505495,0.060501784930505495,0.34976666666666667,39999.81235177184
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"weeks 1-3, 10 EDPs",3,10,baseline_vid,Existing VID,83350000.0,84943603.6315659,0.019119419694851814,0.019119419694851814,0.10674166666666667,-3.6068288336232847e-19
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"weeks 1-3, 10 EDPs",3,10,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,83350000.0,82156993.22422694,0.01431321866554365,-0.01431321866554365,0.10674166666666667,-3.6068288336232847e-19
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"weeks 1-3, 10 EDPs",3,10,two_group_latent_mixture,Two-group mixture,83350000.0,81565538.55866164,0.02140925544497133,-0.02140925544497133,0.10674166666666667,-3.6068288336232847e-19
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"weeks 1-3, 10 EDPs",3,10,pairwise_maxent_direct,Direct pair + higher-order inference,83350000.0,86813772.86436056,0.04155696297973072,0.04155696297973072,0.10674166666666667,-3.6068288336232847e-19
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"weeks 1-3, 10 EDPs",3,10,pairwise_maxent_mixture,Mixture pair + higher-order inference,83350000.0,79133599.19921404,0.05058669227097731,-0.05058669227097731,0.10674166666666667,-3.6068288336232847e-19
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"weeks 1-12, 10 EDPs",12,10,baseline_vid,Existing VID,119960000.0,119987019.20740011,0.00022523514004762707,0.00022523514004762707,0.589775,-1.348637524020473e-09
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"weeks 1-12, 10 EDPs",12,10,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,119960000.0,119999999.99999999,0.00033344448149370706,0.00033344448149370706,0.589775,-1.348637524020473e-09
broad_awareness_control,Broad awareness / reach control,meta_broad_awareness_control_01,1,"weeks 1-12, 10 EDPs",12,10,two_group_latent_mixture,Two-group mixture,119960000.0,119999999.99999999,0.00033344448149370706,0.00033344448149370706,0.589775,-1.348637524020473e-09
