campaign_id,scenario,method,report,report_type,edp_count,week_count,truth_union,estimated_union,union_relative_error
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_oldest,all_weeks__10_edps,prefix,10,13,14335,14335,0.0
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_oldest,weeks_5_12__10_edps,interval,10,8,12519,10689,0.1461778097292116
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_oldest,weeks_7_13__10_edps,interval,10,7,11185,9454,0.1547608404112651
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_oldest,noncontiguous__10_edps,noncontiguous,10,6,10718,10798,0.007464079119238664
venn_traffic_optimization,traffic_optimization,cumulative_full_venn_oldest,noncontiguous__2_edps,noncontiguous,2,6,5432,5498,0.012150220913107511
venn_video_engagement_retargeting,video_engagement_retargeting,daily_full_venn,weeks_1_3__2_edps,prefix,2,3,1213,1308,0.07831821929101401
venn_video_engagement_retargeting,video_engagement_retargeting,daily_full_venn,weeks_1_12__2_edps,prefix,2,12,4063,6456,0.5889736647797195
venn_video_engagement_retargeting,video_engagement_retargeting,daily_full_venn,weeks_5_12__2_edps,interval,2,8,3433,4719,0.3745994756772502
venn_video_engagement_retargeting,video_engagement_retargeting,daily_full_venn,weeks_1_3__5_edps,prefix,5,3,2123,2467,0.16203485633537448
venn_video_engagement_retargeting,video_engagement_retargeting,daily_full_venn,weeks_1_12__5_edps,prefix,5,12,5553,12787,1.3027192508553935
venn_video_engagement_retargeting,video_engagement_retargeting,daily_full_venn,weeks_7_13__5_edps,interval,5,7,4696,8216,0.7495741056218058
venn_video_engagement_retargeting,video_engagement_retargeting,daily_full_venn,all_weeks__5_edps,prefix,5,13,5782,14145,1.4463853337945347
venn_video_engagement_retargeting,video_engagement_retargeting,daily_full_venn,noncontiguous__5_edps,noncontiguous,5,6,4175,6586,0.5774850299401197
venn_video_engagement_retargeting,video_engagement_retargeting,daily_full_venn,weeks_1_3__10_edps,prefix,10,3,2803,3678,0.3121655369247235
venn_video_engagement_retargeting,video_engagement_retargeting,daily_full_venn,weeks_1_12__10_edps,prefix,10,12,6113,17504,1.863405856371667
venn_video_engagement_retargeting,video_engagement_retargeting,daily_full_venn,all_weeks__10_edps,prefix,10,13,6320,19305,2.054588607594937
venn_video_engagement_retargeting,video_engagement_retargeting,daily_full_venn,weeks_5_12__10_edps,interval,10,8,5525,12420,1.2479638009049774
venn_video_engagement_retargeting,video_engagement_retargeting,daily_full_venn,weeks_7_13__10_edps,interval,10,7,5385,11259,1.0908077994428969
venn_video_engagement_retargeting,video_engagement_retargeting,daily_full_venn,noncontiguous__10_edps,noncontiguous,10,6,4782,8935,0.8684650773734839
